#Sample	Not specified	
#B-Field Phi	-1.50000304782E+2	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2870500000.00	3729613634.66	1448163.00000	1452012.00000	0.997349195461
2871000000.00	3729613635.95	1445510.00000	1448793.00000	0.997733975799
2871500000.00	3729613637.24	1454195.00000	1455247.00000	0.999277098664
2872000000.00	3729613638.52	1461223.00000	1463955.00000	0.998133822419
2872500000.00	3729613639.84	1458897.00000	1461474.00000	0.998236711703
2873000000.00	3729613641.13	1452622.00000	1456228.00000	0.997523739414
2873500000.00	3729613642.47	1454367.00000	1458701.00000	0.997028863352
2874000000.00	3729613643.76	1467969.00000	1470608.00000	0.998205504118
2874500000.00	3729613645.04	1462684.00000	1466135.00000	0.997646192199
2875000000.00	3729613646.37	1467063.00000	1471981.00000	0.996658924266
2875500000.00	3729613647.66	1475037.00000	1475779.00000	0.999497214691
2876000000.00	3729613648.94	1474259.00000	1479125.00000	0.996710217189
2876500000.00	3729613650.25	1471129.00000	1475750.00000	0.996868710825
2877000000.00	3729613651.54	1469612.00000	1474963.00000	0.996372112385
2877500000.00	3729613652.83	1468821.00000	1471431.00000	0.998226216520
2878000000.00	3729613654.16	1470116.00000	1472792.00000	0.998183042819
2878500000.00	3729613655.45	1464468.00000	1469517.00000	0.996564177209
2879000000.00	3729613656.75	1466821.00000	1471533.00000	0.996797897159
2879500000.00	3729613658.07	1469405.00000	1471942.00000	0.998276426653
2880000000.00	3729613659.36	1459927.00000	1462863.00000	0.997992976786
2880500000.00	3729613660.65	1458670.00000	1460194.00000	0.998956303067
2881000000.00	3729613661.92	1470011.00000	1472686.00000	0.998183591071
2881500000.00	3729613663.25	1471949.00000	1477037.00000	0.996555265711
2882000000.00	3729613664.55	1473883.00000	1477811.00000	0.997342014642
2882500000.00	3729613665.84	1476661.00000	1481677.00000	0.996614646782
2883000000.00	3729613667.17	1476993.00000	1478749.00000	0.998812509763
2883500000.00	3729613668.46	1479930.00000	1482263.00000	0.998426055295
2884000000.00	3729613669.76	1477081.00000	1479743.00000	0.998201038964
2884500000.00	3729613671.07	1480034.00000	1485031.00000	0.996635087079
2885000000.00	3729613672.37	1484313.00000	1489053.00000	0.996816768779
2885500000.00	3729613673.66	1482826.00000	1484563.00000	0.998829958715
2886000000.00	3729613674.98	1483349.00000	1485452.00000	0.998584269300
2886500000.00	3729613676.27	1474711.00000	1482886.00000	0.994487101503
2887000000.00	3729613677.61	1472525.00000	1478493.00000	0.995963457385
2887500000.00	3729613678.90	1476932.00000	1480056.00000	0.997889269055
2888000000.00	3729613680.19	1477094.00000	1481500.00000	0.997025987175
2888500000.00	3729613681.51	1475831.00000	1480924.00000	0.996560930878
2889000000.00	3729613682.80	1478930.00000	1485227.00000	0.995760244057
2889500000.00	3729613684.09	1469174.00000	1475382.00000	0.995792276170
2890000000.00	3729613685.42	1462597.00000	1468401.00000	0.996047401221
2890500000.00	3729613686.71	1475250.00000	1483959.00000	0.994131239475
2891000000.00	3729613688.00	1473476.00000	1477302.00000	0.997410143627
2891500000.00	3729613689.29	1478349.00000	1485663.00000	0.995076945445
2892000000.00	3729613690.61	1476254.00000	1485085.00000	0.994053539023
2892500000.00	3729613691.90	1488433.00000	1495193.00000	0.995478844537
2893000000.00	3729613693.20	1490205.00000	1502195.00000	0.992018346486
2893500000.00	3729613694.53	1483664.00000	1498232.00000	0.990276539281
2894000000.00	3729613695.82	1476805.00000	1487660.00000	0.992703305863
2894500000.00	3729613697.10	1485740.00000	1496297.00000	0.992944582526
2895000000.00	3729613698.42	1491058.00000	1504701.00000	0.990933082386
2895500000.00	3729613699.70	1493346.00000	1507057.00000	0.990902135752
2896000000.00	3729613700.97	1494802.00000	1505513.00000	0.992885481560
2896500000.00	3729613702.30	1498302.00000	1508898.00000	0.992977656541
2897000000.00	3729613703.59	1484332.00000	1498576.00000	0.990494976564
2897500000.00	3729613704.89	1482487.00000	1493392.00000	0.992697831514
2898000000.00	3729613706.20	1483104.00000	1496855.00000	0.990813405440
2898500000.00	3729613707.49	1482637.00000	1488077.00000	0.996344275195
2899000000.00	3729613708.77	1484869.00000	1492625.00000	0.994803785278
2899500000.00	3729613710.09	1487264.00000	1494016.00000	0.995480637423
2900000000.00	3729613711.37	1486151.00000	1490942.00000	0.996786595320
2900500000.00	3729613712.67	1498147.00000	1501659.00000	0.997661253320
2901000000.00	3729613713.98	1500543.00000	1503186.00000	0.998241734556
2901500000.00	3729613715.27	1498122.00000	1504069.00000	0.996046059057
2902000000.00	3729613716.56	1491637.00000	1496604.00000	0.996681152797
2902500000.00	3729613717.87	1492128.00000	1493394.00000	0.999152266582
2903000000.00	3729613719.16	1498672.00000	1502268.00000	0.997606285962
2903500000.00	3729613720.46	1500387.00000	1504316.00000	0.997388181738
2904000000.00	3729613721.78	1496243.00000	1498337.00000	0.998602450584
2904500000.00	3729613723.06	1505032.00000	1509417.00000	0.997094904854
2905000000.00	3729613724.35	1507779.00000	1511695.00000	0.997409530362
2905500000.00	3729613725.68	1502138.00000	1506014.00000	0.997426318746
2906000000.00	3729613726.97	1503686.00000	1506465.00000	0.998155284059
2906500000.00	3729613728.26	1494684.00000	1497310.00000	0.998246188164
2907000000.00	3729613729.59	1489294.00000	1495189.00000	0.996057354622
2907500000.00	3729613730.88	1498714.00000	1501375.00000	0.998227624677
2908000000.00	3729613732.19	1497199.00000	1502282.00000	0.996616480794
2908500000.00	3729613733.49	1497925.00000	1500775.00000	0.998100981160
2909000000.00	3729613734.78	1504646.00000	1508584.00000	0.997389605087
2909500000.00	3729613736.07	1502666.00000	1508319.00000	0.996252119081
2910000000.00	3729613737.39	1501184.00000	1506012.00000	0.996794182251
2910500000.00	3729613738.68	1499772.00000	1502352.00000	0.998282692738
2911000000.00	3729613739.97	1506435.00000	1509465.00000	0.997992666276
2911500000.00	3729613741.26	1496200.00000	1500305.00000	0.997263889676
2912000000.00	3729613742.58	1508011.00000	1512247.00000	0.997198870290
2912500000.00	3729613743.87	1500354.00000	1506256.00000	0.996081675359
2913000000.00	3729613745.21	1506052.00000	1512514.00000	0.995727642852
2913500000.00	3729613746.50	1505024.00000	1511843.00000	0.995489611024
2914000000.00	3729613747.78	1503499.00000	1511046.00000	0.995005446558
2914500000.00	3729613749.11	1493474.00000	1505315.00000	0.992133872312
2915000000.00	3729613750.39	1497361.00000	1509995.00000	0.991633084878
2915500000.00	3729613751.69	1496364.00000	1510826.00000	0.990427752766
2916000000.00	3729613753.01	1487596.00000	1501782.00000	0.990553888647
2916500000.00	3729613754.30	1500800.00000	1514815.00000	0.990748045141
2917000000.00	3729613755.59	1498464.00000	1512480.00000	0.990733100603
2917500000.00	3729613756.90	1494879.00000	1509315.00000	0.990435396190
2918000000.00	3729613758.19	1481943.00000	1498881.00000	0.988699569879
2918500000.00	3729613759.48	1480061.00000	1494087.00000	0.990612327127
2919000000.00	3729613760.81	1489387.00000	1505615.00000	0.989221680177
2919500000.00	3729613762.10	1487036.00000	1497797.00000	0.992815448288
2920000000.00	3729613763.39	1482441.00000	1497061.00000	0.990234198874
2920500000.00	3729613764.71	1488557.00000	1500388.00000	0.992114706329
2921000000.00	3729613766.00	1493936.00000	1505637.00000	0.992228538486
2921500000.00	3729613767.33	1499503.00000	1508175.00000	0.994250004144
2922000000.00	3729613768.61	1510460.00000	1516224.00000	0.996198450889
2922500000.00	3729613769.90	1515671.00000	1522681.00000	0.995396278012
2923000000.00	3729613771.22	1511416.00000	1516681.00000	0.996528604235
2923500000.00	3729613772.51	1508841.00000	1513706.00000	0.996786033748
2924000000.00	3729613773.80	1498232.00000	1501204.00000	0.998020255741
2924500000.00	3729613775.11	1502392.00000	1506538.00000	0.997247995072
2925000000.00	3729613776.40	1510010.00000	1515008.00000	0.996701007519
2925500000.00	3729613777.68	1510369.00000	1513547.00000	0.997900296456
2926000000.00	3729613779.01	1509403.00000	1512292.00000	0.998089654643
2926500000.00	3729613780.30	1506819.00000	1513477.00000	0.995600858156
2927000000.00	3729613781.59	1501157.00000	1504094.00000	0.998047329489
2927500000.00	3729613782.87	1511732.00000	1512075.00000	0.999773159400
2928000000.00	3729613784.19	1512307.00000	1513504.00000	0.999209120029
2928500000.00	3729613785.48	1503462.00000	1503396.00000	1.00004390061
2929000000.00	3729613786.78	1507992.00000	1507719.00000	1.00018106822
2929500000.00	3729613788.11	1509624.00000	1514165.00000	0.997000987343
2930000000.00	3729613789.40	1506654.00000	1507945.00000	0.999143867979
2930500000.00	3729613790.69	1516299.00000	1519001.00000	0.998221199328
2931000000.00	3729613791.98	1503365.00000	1506974.00000	0.997605134528
2931500000.00	3729613793.30	1494596.00000	1498971.00000	0.997081331126
2932000000.00	3729613794.60	1504994.00000	1508279.00000	0.997822020992
2932500000.00	3729613795.88	1509957.00000	1511976.00000	0.998664661344
2933000000.00	3729613797.21	1520054.00000	1523662.00000	0.997632020750
2933500000.00	3729613798.49	1515931.00000	1517234.00000	0.999141200369
2934000000.00	3729613799.79	1520141.00000	1522813.00000	0.998245352515
2934500000.00	3729613801.08	1510926.00000	1510994.00000	0.999954996512
2935000000.00	3729613802.41	1501967.00000	1504863.00000	0.998075572328
2935500000.00	3729613803.70	1508681.00000	1510434.00000	0.998839406422
2936000000.00	3729613804.99	1502345.00000	1503607.00000	0.999160684940
2936500000.00	3729613806.32	1498690.00000	1501818.00000	0.997917191031
2937000000.00	3729613807.61	1500197.00000	1502667.00000	0.998356255910
2937500000.00	3729613808.88	1502677.00000	1507068.00000	0.997086395571
2938000000.00	3729613810.21	1506993.00000	1510191.00000	0.997882387062
2938500000.00	3729613811.50	1513609.00000	1515004.00000	0.999079210352
2939000000.00	3729613812.79	1511467.00000	1513483.00000	0.998667973145
2939500000.00	3729613814.10	1524997.00000	1526467.00000	0.999036991956
2940000000.00	3729613815.39	1520981.00000	1524564.00000	0.997649819883
